model1646324752,1646324752.991,0.47,0.2502,0.47,0.2514
model1646324752,1646324753.011,0.46,0.252,0.47,0.253
model1646324752,1646324753.029,0.47,0.2527,0.48,0.2504
model1646324752,1646324753.047,0.5,0.2493,0.53,0.2498
model1646324752,1646324753.065,0.5,0.2498,0.47,0.2499
model1646324752,1646324753.082,0.52,0.2494,0.43,0.2537
model1646324752,1646324753.1,0.61,0.2459,0.48,0.255
model1646324752,1646324753.12,0.49,0.253,0.48,0.255
model1646324752,1646324753.141,0.46,0.2569,0.45,0.2551
model1646324752,1646324753.158,0.45,0.2546,0.43,0.2529
model1646324752,1646324753.175,0.53,0.2494,0.59,0.2483
model1646324752,1646324753.193,0.5,0.2502,0.55,0.2495
model1646324752,1646324753.21,0.49,0.2499,0.55,0.2499
model1646324752,1646324753.229,0.5,0.25,0.58,0.2498
model1646324752,1646324753.247,0.42,0.2501,0.62,0.2497
model1646324752,1646324753.264,0.55,0.2498,0.58,0.2497
model1646324752,1646324753.281,0.5,0.2499,0.62,0.2494
model1646324752,1646324753.3,0.47,0.2501,0.54,0.2497
model1646324752,1646324753.317,0.53,0.2498,0.41,0.2508
model1646324752,1646324753.336,0.47,0.2502,0.55,0.2494
model1646324752,1646324753.353,0.54,0.2497,0.56,0.2492
model1646324752,1646324753.371,0.53,0.2496,0.5,0.25
model1646324752,1646324753.388,0.51,0.2498,0.57,0.2488
model1646324752,1646324753.405,0.59,0.2482,0.52,0.2497
model1646324752,1646324753.423,0.42,0.2519,0.61,0.2473
model1646324752,1646324753.442,0.6,0.2476,0.45,0.2514
model1646324752,1646324753.459,0.49,0.2502,0.57,0.2478
model1646324752,1646324753.476,0.56,0.248,0.53,0.2494
model1646324752,1646324753.494,0.56,0.2476,0.53,0.2484
model1646324752,1646324753.511,0.5,0.2503,0.45,0.2541
model1646324752,1646324753.528,0.49,0.2502,0.45,0.2534
model1646324752,1646324753.547,0.48,0.2514,0.4,0.2535
model1646324752,1646324753.564,0.49,0.2521,0.54,0.2486
model1646324752,1646324753.581,0.42,0.2533,0.52,0.2505
model1646324752,1646324753.598,0.54,0.2498,0.51,0.2491
model1646324752,1646324753.616,0.53,0.2493,0.49,0.2516
model1646324752,1646324753.633,0.56,0.2493,0.46,0.2521
model1646324752,1646324753.652,0.48,0.251,0.46,0.2522
model1646324752,1646324753.669,0.39,0.2542,0.44,0.2525
model1646324752,1646324753.687,0.54,0.2473,0.54,0.2474
model1646324752,1646324753.704,0.52,0.2491,0.5,0.2483
model1646324752,1646324753.721,0.52,0.2486,0.51,0.2495
model1646324752,1646324753.738,0.6,0.2474,0.66,0.2472
